             FF                   
             FF                   
     F       FF   FF  F           
     FFFF    FF  FFFFFFFF         
    FFFFF    FF  FFFFFFFFF        
    FFFFF    FF  FFFFFFFF         
      FFF   FFF  FFFFFFFF         
       FF   FFF  FFFFF            
       FF   FFF  FFFF             
      FFF   FFF  FFFF             
      FF    FFF  FFF              
    FFFF    FFF  FFFFFFFF         
   FFF     FFFF  FFFFFFFFF        
  FFFFF    FFFF  FFFFFFFF         
 FFFFFF     FFF  FFFFFF           
    FFF     FFF  FFFF             
   FFFFFFFFFFFFFFFFFFFFF         
   FFFFFFFFFFFFFFFFFFFFFFFFF      
   FFFFFFFFFFFSFFFFFFFFFFFFF      
                                  
